"","name","ticker","date"
"750","XXL ASA","XXL","2020-04-29T07:00:01.593+02:00"
"751","Norsk Hydro ASA","NHY","2020-04-29T06:59:06.837+02:00"
"752","Norsk Hydro ASA","NHY","2020-04-29T06:59:06.76+02:00"
"753","Nordea Bank Abp","NDA","2020-04-29T06:30:39.193+02:00"
"754","Nordea Bank Abp","NDA","2020-04-29T06:30:38.817+02:00"
"755","SpareBank 1 Næringskreditt AS","SBNK","2020-04-28T15:50:31.777+02:00"
"756","SpareBank 1 Boligkreditt","SPBKR","2020-04-28T15:47:42.2+02:00"
"757","Totens Sparebank Boligkreditt AS","TSBK","2020-04-28T12:55:13.07+02:00"
"758","AKVA group ASA","AKVA","2020-04-28T12:45:42.603+02:00"
"759","Totens Sparebank","TOTG","2020-04-28T12:44:28.973+02:00"
"760","Helgeland Boligkreditt AS","HEBK","2020-04-28T12:14:46.423+02:00"
"761","ABG Sundal Collier Holding ASA","ASC","2020-04-28T08:00:00+02:00"
"762","Carasent ASA","CARA","2020-04-28T08:00:00+02:00"
"763","Akastor ASA","AKA","2020-04-28T07:00:19.177+02:00"
"764","OKEA ASA","OKEA","2020-04-28T07:00:18.663+02:00"
"765","TietoEVRY Oyj","TIETOO","2020-04-28T07:00:12.363+02:00"
"766","Telenor ASA","TEL","2020-04-28T07:00:00+02:00"
"767","Telenor ASA","TEL","2020-04-28T07:00:00+02:00"
"768","Eiendomskreditt AS","EIKR","2020-04-27T13:18:06.697+02:00"
"769","AB Stena Metall Finans","SMF","2020-04-27T08:30:00+02:00"
"770","Kværner ASA","KVAER","2020-04-27T07:00:02.86+02:00"
"771","Kværner ASA","KVAER","2020-04-27T07:00:02.827+02:00"
"772","Kredittforeningen for Sparebanker","KFS","2020-04-24T15:17:17.553+02:00"
"773","Medistim ASA","MEDI","2020-04-24T10:53:17.717+02:00"
"774","Scatec Solar ASA","SSO","2020-04-24T10:06:47.793+02:00"
"775","Gentian Diagnostics AS","GENT-ME","2020-04-24T07:00:00+02:00"
"776","Lerøy Seafood Group ASA","LSG","2020-04-23T21:46:24.753+02:00"
"777","Austevoll Seafood ASA","AUSS","2020-04-23T17:45:00+02:00"
"778","Austevoll Seafood ASA","AUSS","2020-04-23T17:45:00+02:00"
"779","Lerøy Seafood Group ASA","LSG","2020-04-23T17:30:01.823+02:00"
"780","Lerøy Seafood Group ASA","LSG","2020-04-23T17:30:01.807+02:00"
"781","Arcus ASA","ARCUS","2020-04-23T15:19:03.33+02:00"
"782","Q-Free ASA","QFR","2020-04-23T13:57:45.707+02:00"
"783","Lillesands Sparebank","LISB","2020-04-23T08:32:34.933+02:00"
"784","Yara International ASA","YAR","2020-04-23T08:00:15.853+02:00"
"785","Yara International ASA","YAR","2020-04-23T08:00:15.227+02:00"
"786","PGS ASA","PGS","2020-04-23T08:00:07.197+02:00"
"787","ContextVision AB","COV","2020-04-23T08:00:04.663+02:00"
"788","ContextVision AB","COV","2020-04-23T08:00:03.927+02:00"
"789","Kongsberg Automotive ASA","KOA","2020-04-23T07:29:33.283+02:00"
"790","Europris ASA","EPR","2020-04-23T06:59:37.677+02:00"
"791","ArcticZymes Technologies ASA","AZT","2020-04-23T06:59:18.52+02:00"
"792","ArcticZymes Technologies ASA","AZT","2020-04-23T06:59:16.583+02:00"
"793","Polarcus Limited","PLCS","2020-04-23T06:58:58.613+02:00"
"794","Nordic Mining ASA","NOM","2020-04-22T17:39:11.277+02:00"
"795","Pareto Bank ASA","PARB","2020-04-22T12:24:47.453+02:00"
"796","Pareto Bank ASA","PARB","2020-04-22T12:24:47.407+02:00"
"797","Yara International ASA","YAR","2020-04-22T08:00:01.62+02:00"
"798","Yara International ASA","YAR","2020-04-22T08:00:01.587+02:00"
"799","Atea ASA","ATEA","2020-04-22T07:00:18.497+02:00"
"800","Gjensidige Forsikring ASA","GJF","2020-04-22T07:00:16.077+02:00"
"801","Gjensidige Forsikring ASA","GJF","2020-04-22T07:00:15.233+02:00"
"802","SVENSKA HANDELSBANKEN AB","SHB","2020-04-22T07:00:12.56+02:00"
"803","Gjensidige Pensjonsforsikring AS","GJEPF","2020-04-22T07:00:11.78+02:00"
"804","Axactor SE","AXA","2020-04-21T07:00:00+02:00"
"805","EAM Solar ASA","EAM","2020-04-21T07:00:00+02:00"
"806","Nordic Semiconductor ASA","NOD","2020-04-21T07:00:00+02:00"
