"","date","title","pageviews","pageviews_mobile","xl","read_time","read_time_total","sentences_count","subject","url","word_count"
"982",2020-08-09,"Rederiforbundet: Ingen andre bruker karantene om bord i skipet enn Hurtigruten.",51110,36262,0,53,1282188,48,"Koronautbrudd på Hurtigruten;Nytt koronavirus (covid-19);Hurtigruten;Norge;Troms","https://www.nrk.no/tromsogfinnmark/rederiforbundet_-ingen-andre-bruker-karantene-om-bord-i-skipet-enn-hurtigruten.-1.15116340",539
"983",2020-08-09,"Vil ha analyse av koronatester ut i distriktene",15872,11084,0,45,357912,30,"Nytt koronavirus (covid-19)","https://www.nrk.no/rogaland/vil-ha-analyse-av-koronatester-ut-i-distriktene-1.15108017",455
"984",2020-08-09,"Fra en i 20-årene til en annen",152264,111786,0,44,3442768,24,"Ytring;Norge;Nytt koronavirus (covid-19)","https://www.nrk.no/ytring/fra-en-i-20-arene-til-en-annen-1.15116673",393
"985",2020-09-09,"Lovund hotell kuttet buffé til frokost – kuttet kraftig i matsvinn",183708,108715,0,51,4989641,51,"Nordland;Koronavirus (Nordland);Hotell- og restaurantnæringen (Nordland);Nytt koronavirus (covid-19);Reiseliv og turisme;Norge;Reiseliv i Nordland;Oppskrifter som bekjemper matsvinn;Mat og drikke","https://www.nrk.no/nordland/lovund-hotell-kuttet-buffe-til-frokost-_-kuttet-kraftig-i-matsvinn-1.15151340",490
"986",2020-09-09,"Kommune-Noreg slit økonomisk – vil ha koronagaranti frå regjeringa",10868,6279,0,27,165983,41,"Vestlandsfylket;Politikk;Nytt koronavirus (covid-19);Norge;Næringsliv;Næringslivet i Vestland","https://www.nrk.no/vestland/kommune-noreg-slit-okonomisk-_-vil-ha-koronagaranti-fra-regjeringa-1.15152517",511
"987",2020-09-09,"Vurderer å videreføre krisetiltak: – Vanskelig for å tro at den vil hjelpe oss",22041,11287,0,26,301329,44,"Økonomi;Nytt koronavirus (covid-19)","https://www.nrk.no/norge/vurderer-a-viderefore-krisetiltak_-_-vanskelig-for-a-tro-at-den-vil-hjelpe-oss-1.15151027",583
"988",2020-09-09,"Sju nye smittede på Haukeland",39713,24337,0,32,661019,27,"Norge;Nytt koronavirus (covid-19)","https://www.nrk.no/vestland/sju-nye-smittede-pa-haukeland-1.15153033",362
"989",2020-09-09,"Vestlandskommunar ber folk droppe turar til Bergen – statsministeren meiner det er uproblematisk",24308,19830,0,48,518267,48,"Nytt koronavirus (covid-19);Norge;Nyheiter frå Vestland;Helse","https://www.nrk.no/vestland/vestlandskommunar-ber-folk-droppe-turar-til-bergen-_-statsministeren-meiner-det-er-uproblematisk-1.15152961",490
"990",2020-09-09,"Nettmøte med Bergen kommune om nye koronatiltak i Bergen – byrådslederen svarer deg",26187,17067,0,68,830885,38,"Nytt koronavirus (covid-19);Politikk i Bergen;Norge","https://www.nrk.no/vestland/nettmote-med-bergen-kommune-om-nye-koronatiltak-i-bergen-_-byradslederen-svarer-deg-1.15153502",497
"991",2020-09-09,"Dødsfall ved Domkirkehjemmet i Bergen",28324,19877,0,19,249770,5,"Nytt koronavirus (covid-19)","https://www.nrk.no/vestland/dodsfall-ved-domkirkehjemmet-i-bergen-1.15153795",75
"992",2020-09-09,"Vietnamesiske arbeidere kommer seg ikke hjem",5708,3859,0,65,164039,32,"Landbruk;Nytt koronavirus (covid-19)","https://www.nrk.no/osloogviken/vietnamesiske-arbeidere-kommer-seg-ikke-hjem-1.15144719",430
"993",2020-09-09,"Kulturlivet i Bergen i harnisk over strenge koronatiltak: – Symbolpolitikk",37491,25230,0,48,923514,52,"Nytt koronavirus (covid-19);Kultur & Underholdning","https://www.nrk.no/vestland/kulturlivet-i-bergen-i-harnisk-over-strenge-koronatiltak_-_-symbolpolitikk-1.15153704",652
"994",2020-09-09,"UiT trosser anbefalingene: Kaller studentene tilbake til campus",33310,23194,0,33,551054,50,"Finnmark;Nytt koronavirus (covid-19);Norge","https://www.nrk.no/tromsogfinnmark/uit-trosser-anbefalingene_-kaller-studentene-tilbake-til-campus-1.15153071",678
"995",2020-09-09,"Her er noko av det beste frå festivalsommaren 2020",7636,4918,0,49,182537,146,"Festivalsommer 2020;Musikk;Kulturlivet og koronapandemien","https://www.nrk.no/kultur/her-er-noko-av-det-beste-fra-festivalsommaren-2020-1.15129132",2267
"996",2020-09-09,"UD fraråder reiser til flere regioner i Sverige",62476,39900,0,35,1138968,16,"Nytt koronavirus (covid-19);Norge;Trøndelag","https://www.nrk.no/trondelag/ud-frarader-reiser-til-flere-regioner-i-sverige-1.15154185",278
"997",2020-09-09,"Disse vaksinene har kommet lengst i kappløpet",48664,31411,0,63,1458991,51,"Urix;Vaksine i Norge;Nytt koronavirus (covid-19)","https://www.nrk.no/urix/disse-vaksinene-har-kommet-lengst-i-kapplopet-1.15153256",604
"998",2020-09-09,"Ny bok: Trump innrømmer at han visste at koronaviruset var farlig",47768,32519,0,51,1220117,40,"Donald Trump;Presidentvalget i USA 2020;Urix;USA;Nytt koronavirus (covid-19)","https://www.nrk.no/urix/ny-bok_-trump-innrommer-at-han-visste-at-koronaviruset-var-farlig-1.15154386",456
"999",2020-09-09,"Sender 250 elevar på heimeskule: – Vi håpar situasjonen ikkje eskalerer",25737,18792,0,20,287957,21,"Nytt koronavirus (covid-19);Nyheiter frå Vestland","https://www.nrk.no/vestland/sender-250-elevar-pa-heimeskule_-_-vi-hapar-situasjonen-ikkje-eskalerer-1.15154190",199
