"","date","title","pageviews","pageviews_mobile","xl","read_time","read_time_total","sentences_count","subject","url","word_count"
"1949",2019-11-04,"Gorbatsjov: – Verden i kolossal fare",307031,189689,0,57,9964936,38,"Urix;Russland;USA;Berlinmuren","https://www.nrk.no/urix/gorbatsjov_-_-verden-i-kolossal-fare-1.14768186",606
"1950",2019-11-04,"Karoline Riise Kristiansen ny språksjef i NRK",12466,7084,0,30,233960,14,"Norge;Språket;Kultur","https://www.nrk.no/norge/karoline-riise-kristiansen-ny-spraksjef-i-nrk-1.14768526",254
"1951",2019-11-04,"Blir NRKs nye språksjef",935,450,0,29,16478,14,"NRK","https://www.nrk.no/informasjon/blir-nrks-nye-spraksjef-1.14768151",247
"1952",2019-11-04,"9 av 10 nominerte til Bokhandlerprisen er kvinner",12206,6978,0,41,306139,34,"Litteraturnyheter","https://www.nrk.no/kultur/9-av-10-nominerte-til-bokhandlerprisen-er-kvinner-1.14768228",521
"1953",2019-11-04,"Gravlundsdrapet i Haugesund: Sonen til offeret fryktar fleire drap",16263,10620,0,45,456882,30,"Gravlundsdrapet i Haugesund","https://www.nrk.no/rogaland/gravlundsdrapet-i-haugesund_-sonen-til-offeret-fryktar-fleire-drap-1.14768396",382
"1954",2019-11-04,"Henlegger hærverk på 22. juli-minnesmerke",844,418,0,37,21998,19,"Norge","https://www.nrk.no/vestfoldogtelemark/henlegger-haerverk-pa-22.-juli-minnesmerke-1.14768642",306
"1955",2019-11-04,"Tore Sagen, morfar og meg",121573,85155,0,97,6337344,45,"Ytring;Radioresepsjonen","https://www.nrk.no/ytring/tore-sagen_-morfar-og-meg-1.14768174",795
"1956",2019-11-04,"– Som tatt ut av læreboka for valgmanipulasjon",126557,78217,0,39,3204561,39,"Folkeopplysningen (NRK1);Facebook;Sosiale medier","https://www.nrk.no/livsstil/_-som-tatt-ut-av-laereboka-for-valgmanipulasjon-1.14743324",403
"1957",2019-11-04,"Denne fjelltoppen kan bli fylt med gift",133814,80157,0,41,3508188,49,"Avfallsdeponi Brevik;Næringslivet i Sogn og Fjordane;Politikk i Sogn og Fjordane;Klima og miljø;Miljøpartiet De Grønne;Senterpartiet;Søppel og renovasjon;Norge;Næringsliv;Telemark","https://www.nrk.no/vestland/denne-fjelltoppen-kan-bli-fylt-med-gift-1.14768475",658
"1958",2019-11-04,"04.11.2019 Nobels fredspris",49,2,0,24,548,1,"Arabisk","https://www.nrk.no/arabisk/04.11.2019-nobels-fredspris-1.14768754",5
